offer id,category,class,subclass,brand,name
1017818155,Hardware,Door Hardware,Door Hinge,Victor,Victor VSRH511818AN Antique 5x1.1/8x1/8 Brass Door Hinge
1006151293,Electricals,Water Heaters & Geysers,Instant Geyser,Racold,Racold Pronto Stylo 3 Litre 3KW Instant Geyser
1017070746,Power & Hand Tools,Hand Tools,Spanners & Wrench,Taparia,Taparia 1275 18 inch Adjustable Pipe Wrench
1014814316,Hardware,Cabinet Hardware,Drawer Channel,EBCO,EBCO STDS30-I-35 300 mm 35kg Regular Close Telescopic Drawer Channel
1017726641,Electricals,Electrical Tools & Accessories,Accessory,Unbranded,Unbranded 200 mm Cable Tie
1017737631,Bath,Bath Faucets,Diverter,Parryware,Parryware Claret G522KA1 High Flow Diverter
1017926819,Plumbing,Tanks,Overhead Tank,Supreme,Supreme SILTANK 3 Layer White 1500 L Overhead Tank
1017895674,Bath,Basin Faucets,Pillar Tap,Parryware,Parryware Aqua G572BA1 Chrome Pillar Tap - Tall Body
1017946721,Hardware,Kitchen Hardware,Kitchen Accessory,Apace,Apace APKJANO1146SS 6 in. Aluminium Jaali
1018753358,Plumbing,"Tapes, Adhesives and Cleaners",Tape,Pidilite,Pidilite M-Seal 50 mm Butyl Rubber Tape
1017780611,Electricals,Wires & Cables,Low Tension Wire,Polycab,Polycab Green Wire+ 2.5 sq mm Blue 90 m FR PVC Insulated Wire
1018279261,Paints,Interior Paints,Interior Emulsion - Base,BIRLA opus,BIRLA opus CS 2 Style Color Smart Mid Tone 3.8 L Interior Emulsion - Base
1017921469,Electricals,"Conduit, Boxes & Fitting",Conduit Pipe,Finolex,Finolex MMS 19 mm MMS( Medium Mechanical Stress) PVC Conduit Pipe
1000354332,Electricals,Wires & Cables,Low Tension Wire,Polycab,Polycab Optima+ 2.5 sq mm Yellow 90 m PVC Insulated Wire
1017948323,Hardware,Door Hardware,Lever Handle,Godrej,Godrej 4898 Antique Mortise on Plate
1017702346,Hardware,Fasteners,Nail,Vision,Vision Head Nail 1x14 Silver Drywall
1017914339,Hardware,Door Hardware,Tower Bolt,Crane,Crane CNTBXYLO810AN Antique 8 in. Aluminium Tower Bolt
1002378793,Electricals,Wires & Cables,Low Tension Wire,Polycab,Polycab FRLS-H 1 sq mm Green 300 m PVC Insulated Wire
1018712846,Paints,Paint Tools,Other Tools,Unbranded,Sanding Grit Sukha/Red Paper 100 no
1000354098,Electricals,Wires & Cables,Low Tension Wire,Polycab,Polycab Optima+ 1 sq mm Blue 90 m PVC Insulated Wire
1017804584,Lighting & Fans,Ceiling Lights,LED Panel Light,Panasonic,Panasonic 6W TRI CCT LED Round Rimless Surface Panel Light
1017742146,Lighting & Fans,Lighting Accessories,LED Strip Light Driver,Philips,Marathon Rope Light Accessory Gen 3
1018248003,Hardware,Ropes,Rope,Everest,Everest 10 m Nylon Rope
1017644003,Lighting & Fans,Light Bulbs,LED Batten,Philips,Philips 10W 6500K Slimline LED Batten
1017724837,Lighting & Fans,Ceiling Lights,LED Panel Light,Philips,Philips 10W 6000K Round Astra Sleek Concealed LED Panel Light
